ID,name,href,first_party,second_party,winning_party,winner_index,facts
2158,"Vincent Cullen, Acting Warden v. Scott Lynn Pinholster",https://api.oyez.org/cases/2010/09-1088,"Vincent Cullen, Acting Warden",Scott Lynn Pinholster,,,"<p>A California state court convicted Scott Lynn Pinholster of double murder and sentenced him to death. After exhausting his state court remedies, he petitioned for habeas corpus relief in a California federal district court, arguing that he was denied effective assistance of counsel at both the gu"
2159,"Albert Snyder v. Fred W. Phelps, Sr., et al.",https://api.oyez.org/cases/2010/09-751,Albert Snyder,"Fred W. Phelps, Sr., et al.",,,"<p>The family of deceased Marine Lance Cpl. Matthew Snyder filed a lawsuit against members of the Westboro Baptist Church who picketed at his funeral. The family accused the church and its founders of defamation, invasion of privacy and the intentional infliction of emotional distress for displaying"
2160,"Mayo Foundation for Medical Education and Research, et al. v. United States",https://api.oyez.org/cases/2010/09-837,"Mayo Foundation for Medical Education and Research, et al.",United States,,,"<p>The Mayo Foundation for Medical Education and Research (""Mayo"") and the University of Minnesota (""University"") sued the United States in a Minnesota federal district court seeking a refund for taxes paid under the Federal Insurance Contributions Act (""FICA""). They argued that payments made to doc"
2161,"Janus Capital Group, Inc., et al. v. First Derivative Traders",https://api.oyez.org/cases/2010/09-525,"Janus Capital Group, Inc., et al.",First Derivative Traders,,,"<p>First Derivative Traders, individually, and on behalf of various Janus Capital Group (""JCG"") shareholders sued JCG and its investment advisor subsidiary Janus Capital Management (""JCM"") in the Colorado federal district court (subsequently transferred to the Maryland federal district court) allegi"
2162,"AT&T Mobility LLC v. Vincent Concepcion, et ux.",https://api.oyez.org/cases/2010/09-893,AT&T Mobility LLC,"Vincent Concepcion, et ux.",,,<p>Customers brought a class action lawsuit against AT&amp;T Mobility LLC in a California federal district court. They alleged that the company's offer of a free phone to anyone who signed up for its service was fraudulent to the extent the company charged the new subscriber sales tax on the retail 
2163,Michigan v. Richard Perry Bryant,https://api.oyez.org/cases/2010/09-150,Michigan,Richard Perry Bryant,,,"<p>A Michigan trial court convicted Richard Perry Bryant of second degree murder, being a felon in possession of a firearm, and possession of a firearm during commission of a felony. On appeal, Mr. Bryant challenged the admission of the victim's statements at trial for violating his Sixth Amendment "
2164,"Blaine Lafler, Warden v. Anthony Cooper",https://api.oyez.org/cases/2011/10-209,"Blaine Lafler, Warden",Anthony Cooper,,,"<p>Anthony Cooper was convicted of shooting a woman in the thigh and buttocks after missing a shot to her head. The U.S. Court of Appeals for the 6th Circuit overturned the conviction after Cooper claimed ineffective assistance of counsel. His lawyer told him not to take a plea offer, thinking that "
2165,Federal Aviation Administration v. Stanmore Cooper,https://api.oyez.org/cases/2011/10-1024,Federal Aviation Administration,Stanmore Cooper,,,"<p>In 2006, pilot Stanmore Cooper disclosed that he was HIV-positive to Social Security officials in order to receive medical benefits but withheld his status from the Federal Aviation Administration. But the Social Security Administration then turned over his medical records to the FAA, which revok"
2166,"Federal Communications Commission, et al. v. Fox Television Stations, Inc., et al.",https://api.oyez.org/cases/2011/10-1293,"Federal Communications Commission, et al.","Fox Television Stations, Inc., et al.",,,"<p>In 2004, the Federal Communications Commission said that TV stations could be fined for indecency violations in cases when a vulgarity was broadcast during a live program. That happened on Fox in 2002 and 2003 when Cher and Nicole Richie cursed during award shows and were not bleeped.  The FCC ne"
2167,Alexander Vasquez v. United States,https://api.oyez.org/cases/2011/11-199,Alexander Vasquez,United States,,,"<p>On August 5, 2008, Joel Perez and Carlos Cruz drove to a Shell station in Arlington Heights, Illinois, with Cruz at the wheel. They met with Alejandro Diaz, who was working with Drug Enforcement Agency (""DEA"") officials. Diaz instructed them to meet him at a different location to complete the dea"
2168,"Kenneth L. Salazar, et al. v. Ramah Navajo Chapter, et al.",https://api.oyez.org/cases/2011/11-551,"Kenneth L. Salazar, et al.","Ramah Navajo Chapter, et al.",,,"<p>In 1975, the Indian Self-Determination and Educational Assistance Act (ISDA) became law. Among other things, the ISDA directs the Secretary of the Interior, at the request of any Indian tribe, to enter into contracts which permit tribal organization to administer federal programs that would other"
2169,"Hosanna-Tabor Evangelical Lutheran Church and School v. Equal Employment Opportunity Commission, et al.",https://api.oyez.org/cases/2011/10-553,Hosanna-Tabor Evangelical Lutheran Church and School,"Equal Employment Opportunity Commission, et al.",,,"<p>Cheryl Perich filed a lawsuit against the Hosanna-Tabor Evangelical Lutheran Church and School in Redford, Mich., for allegedly violating the Americans with Disabilities Act when they fired her after she became sick in 2004. After several months on disability, Perich was diagnosed and treated for"
2170,KPMG LLP v. Robert Cocchi et al.,https://api.oyez.org/cases/2011/10-1521,KPMG LLP,Robert Cocchi et al.,,,"<p>Respondents, 19 individuals and entities, bought limited partnerships, which were invested with Bernard Madoff. After losing millions, Respondents sued Petitioner KPMG LLC, a financial auditor, alleging use of improper accounting standards. KPMG moved to compel arbitration under an audit services"
2171,"Michael Shane Christopher, Frank Buchanan v. SmithKline Beecham Corporation d/b/a GlaxoSmithKline",https://api.oyez.org/cases/2011/11-204,"Michael Shane Christopher, Frank Buchanan",SmithKline Beecham Corporation d/b/a GlaxoSmithKline,,,"<p>Michael Christopher and Frank Buchanan began working for GlaxoSmithKline LLC (""Glaxo"") as pharmaceutical sales representatives (""PSRs"") in 2003. Glaxo developed, produced, marketed and sold pharmaceutical products to distributors or retail pharmacies, which subsequently sell those products to con"
2172,"Panagis Vartelas v. Eric H. Holder Jr., Attorney General",https://api.oyez.org/cases/2011/10-1211,Panagis Vartelas,"Eric H. Holder Jr., Attorney General",,,"<p>Panagis Vartelas became a Lawful Permanent Resident of the United States on January 5, 1989. On December 9, 1994, Vartelas pled guilty to conspiracy to make or possess a counterfeit security. In January of 2003, Vartelas took a one-week trip to Greece. Upon his return from Greece to the JFK airpo"
2173,"Darin Ryburn, et al. v. George R. Huff, et al.",https://api.oyez.org/cases/2011/11-208,"Darin Ryburn, et al.","George R. Huff, et al.",,,"<p>Darin Ryburn and Edmundo Zepeda were Burbank Police Officers. Vincent Huff was a student at Bellarmine-Jefferson High School, who was rumored to be intending to ""shoot-up"" the school. Ryburn, Zepeda, and other officers arrived at the school to investigate the rumors. After conducting some intervi"
2174,"M. B. Z., By His Parents and Guardians Ari Z. Zivotofsky, et ux. v. Hillary Rodham Clinton, Secretary of State",https://api.oyez.org/cases/2011/10-699,"M. B. Z., By His Parents and Guardians Ari Z. Zivotofsky, et ux.","Hillary Rodham Clinton, Secretary of State",,,"<p>Menachem Binyamin Zivotofsky is a United States citizen born on October 17, 2002 in Jerusalem. In December 2002, Zivotofsky's mother filed an application for a Consular Report of Birth Abroad and a United States passport for petitioner, listing his place of birth as ""Jerusalem, Israel."" United St"
2175,"United States v. Home Concrete & Supply, LLC, et al.",https://api.oyez.org/cases/2011/11-139,United States,"Home Concrete & Supply, LLC, et al.",,,"<p>Plaintiffs Stephen R. Chandler and Robert L. Pierce were the sole shareholders of Home Oil and Coal Company, Inc. In 1999, Pierce contemplated selling his share of the business and sought professional advice in an effort to minimize tax liability generated by the sale of his interest in Home Oil."
2176,"Chantell Sackett, et vir v. Environmental Protection Agency, et al.",https://api.oyez.org/cases/2011/10-1062,"Chantell Sackett, et vir","Environmental Protection Agency, et al.",,,"<p>Chantell and Mike Sackett own a half-acre lot in a residential area near Priest Lake, Idaho. In April and May of 2007, the Sacketts filled in about one-half acre of that property with dirt and rock in preparation for building a house. On November 26, 2007, the U.S. Environmental Protection Agency"
2177,United States v. Xavier Alvarez,https://api.oyez.org/cases/2011/11-210,United States,Xavier Alvarez,,,"<p>On July 23, 2007, Xavier Alvarez, a member of the Three Valleys Water District Board of Directors, attended a joint meeting with the Walnut Valley Water District Board of Directors at the Board's headquarters. Mr. Alvarez was invited to speak about his background, and he stated, ""I'm a retired ma"
2178,"Rick Perry, Governor of Texas et al. v. Shannon Perez, et al.",https://api.oyez.org/cases/2011/11-713,"Rick Perry, Governor of Texas et al.","Shannon Perez, et al.",,,"<p>The United States Census Bureau conducted a national census in 2010. In May and June of 2011, the Texas Legislature created a new electoral map based on changes in the state's population. Texas Governor Rick Perry signed the new map into law in July of 2011.</p>
<p>Under Section 5 of the Voting R"
2179,"Pacific Operators of Offshore, LLP, et al. v. Luisa L. Valladolid",https://api.oyez.org/cases/2011/10-507,"Pacific Operators of Offshore, LLP, et al.",Luisa L. Valladolid,,,"<p>Pacific Operations Offshore runs two offshore oil drilling platforms, the Hogan and the Houchin, both located more than three miles off the coast of California. Juan Valladolid worked for Pacific Operations as a roustabout, stationed primarily on the Hogan. He was killed, however, on the grounds "
